Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_TablePosDiff_Rolling10,Home_GoalsFor_Rolling5,Home_GoalsFor_Rolling10,Home_Shots_Rolling5,Home_Shots_Rolling10,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTarget_Rolling10,Home_Corners_Rolling5,Home_Corners_Rolling10,Home_Fouls_Rolling5,Home_Fouls_Rolling10,Home_TablePosDiff_Rolling5_all,Home_TablePosDiff_Rolling10_all,Home_GoalsFor_Rolling5_all,Home_GoalsFor_Rolling10_all,Home_Shots_Rolling5_all,Home_Shots_Rolling10_all,Home_ShotsOnTarget_Rolling5_all,Home_ShotsOnTarget_Rolling10_all,Home_Corners_Rolling5_all,Home_Corners_Rolling10_all,Home_Fouls_Rolling5_all,Home_Fouls_Rolling10_all,Home_Points_Rolling5,Home_Points_Rolling10,Home_Points_Rolling5_all,Home_Points_Rolling10_all,Home_Win_Rolling5,Home_Win_Rolling10,Home_Win_Rolling5_all,Home_Win_Rolling10_all,TablePosDiff,TablePosDiff_Rolling5,TablePosDiff_Rolling10,GoalsFor_Rolling5,GoalsFor_Rolling10,Shots_Rolling5,Shots_Rolling10,ShotsOnTarget_Rolling5,ShotsOnTarget_Rolling10,Corners_Rolling5,Corners_Rolling10,Fouls_Rolling5,Fouls_Rolling10,TablePosDiff_Rolling5_all,TablePosDiff_Rolling10_all,GoalsFor_Rolling5_all,GoalsFor_Rolling10_all,Shots_Rolling5_all,Shots_Rolling10_all,ShotsOnTarget_Rolling5_all,ShotsOnTarget_Rolling10_all,Corners_Rolling5_all,Corners_Rolling10_all,Fouls_Rolling5_all,Fouls_Rolling10_all,Points_Rolling5,Points_Rolling10,Points_Rolling5_all,Points_Rolling10_all,Win_Rolling5,Win_Rolling10,Win_Rolling5_all,Win_Rolling10_all
2024-09-21,12:30,West Ham,Chelsea,A,0,3,-6,0.0,0.0,1.0,1.0,12.0,12.0,2.5,2.5,4.0,4.0,14.0,14.0,-0.25,-0.25,1.25,1.25,13.25,13.25,2.75,2.75,3.25,3.25,15.75,15.75,0.0,0.0,1.0,1.0,0.0,0.0,0.375,0.375,6,-1.5,-1.5,3.5,3.5,12.0,12.0,5.5,5.5,4.0,4.0,11.0,11.0,-0.75,-0.75,2.0,2.0,11.75,11.75,5.25,5.25,4.0,4.0,10.75,10.75,3.0,3.0,1.75,1.75,1.0,1.0,0.625,0.625
2024-09-21,15:00,Aston Villa,Wolves,H,3,1,12,5.5,5.5,1.5,1.5,14.0,14.0,5.5,5.5,5.0,5.0,9.0,9.0,2.75,2.75,1.75,1.75,13.25,13.25,4.75,4.75,4.25,4.25,12.5,12.5,1.5,1.5,2.25,2.25,0.5,0.5,0.75,0.75,-12,0.0,0.0,0.5,0.5,10.0,10.0,3.0,3.0,2.5,2.5,16.0,16.0,-2.5,-2.5,1.0,1.0,11.0,11.0,3.75,3.75,3.5,3.5,15.5,15.5,0.5,0.5,0.25,0.25,0.25,0.25,0.125,0.125
2024-09-21,15:00,Fulham,Newcastle,H,3,1,-7,0.5,0.5,1.5,1.5,19.5,19.5,5.5,5.5,5.0,5.0,14.5,14.5,0.25,0.25,1.0,1.0,14.5,14.5,4.25,4.25,6.0,6.0,13.5,13.5,2.0,2.0,1.25,1.25,0.75,0.75,0.5,0.5,7,5.0,5.0,1.5,1.5,14.0,14.0,5.5,5.5,8.0,8.0,7.0,7.0,2.5,2.5,1.5,1.5,10.0,10.0,3.75,3.75,6.5,6.5,11.25,11.25,2.0,2.0,2.5,2.5,0.75,0.75,0.875,0.875
2024-09-21,15:00,Leicester,Everton,D,1,1,5,0.0,0.0,1.0,1.0,8.0,8.0,3.0,3.0,1.5,1.5,12.0,12.0,0.25,0.25,1.25,1.25,8.75,8.75,3.5,3.5,2.5,2.5,13.0,13.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-5,-5.5,-5.5,1.0,1.0,8.0,8.0,1.5,1.5,3.5,3.5,13.5,13.5,-2.75,-2.75,1.0,1.0,10.75,10.75,3.0,3.0,4.0,4.0,10.25,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21,15:00,Liverpool,Bournemouth,H,3,0,6,4.0,4.0,1.0,1.0,16.5,16.5,6.5,6.5,8.0,8.0,12.5,12.5,2.0,2.0,1.75,1.75,15.5,15.5,5.25,5.25,7.0,7.0,12.5,12.5,1.5,1.5,2.25,2.25,0.5,0.5,0.75,0.75,-6,0.0,0.0,2.0,2.0,15.0,15.0,5.5,5.5,5.0,5.0,4.5,4.5,0.75,0.75,1.25,1.25,16.25,16.25,5.5,5.5,6.0,6.0,11.0,11.0,2.0,2.0,1.25,1.25,0.75,0.75,0.5,0.5
2024-09-21,15:00,Southampton,Ipswich,D,1,1,-3,-2.5,-2.5,0.0,0.0,5.5,5.5,2.5,2.5,2.0,2.0,12.5,12.5,-1.25,-1.25,0.25,0.25,12.0,12.0,3.75,3.75,6.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-7.0,-7.0,0.5,0.5,3.5,3.5,1.0,1.0,1.5,1.5,15.5,15.5,-3.5,-3.5,0.5,0.5,6.25,6.25,2.0,2.0,3.25,3.25,13.75,13.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25
2024-09-21,15:00,Tottenham,Brentford,H,3,1,-3,-3.5,-3.5,2.0,2.0,14.0,14.0,6.0,6.0,9.5,9.5,12.0,12.0,-1.75,-1.75,1.5,1.5,15.75,15.75,6.25,6.25,11.0,11.0,12.25,12.25,1.5,1.5,1.0,1.0,0.5,0.5,0.375,0.375,3,-3.0,-3.0,0.5,0.5,8.0,8.0,3.5,3.5,3.5,3.5,5.0,5.0,-1.5,-1.5,1.5,1.5,11.25,11.25,4.75,4.75,3.25,3.25,6.5,6.5,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5
2024-09-21,17:30,Crystal Palace,Man United,D,0,0,-6,-0.5,-0.5,1.0,1.0,17.0,17.0,3.0,3.0,4.0,4.0,10.0,10.0,-0.25,-0.25,1.0,1.0,14.25,14.25,3.75,3.75,5.0,5.0,12.0,12.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,6,2.5,2.5,2.0,2.0,15.5,15.5,7.0,7.0,5.5,5.5,13.5,13.5,1.25,1.25,1.25,1.25,13.25,13.25,5.5,5.5,5.75,5.75,11.5,11.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5
2024-09-22,14:00,Brighton,Nott'm Forest,D,2,2,2,7.0,7.0,1.0,1.0,17.5,17.5,5.5,5.5,6.5,6.5,11.5,11.5,3.5,3.5,1.5,1.5,16.75,16.75,5.0,5.0,6.25,6.25,9.5,9.5,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,-2,-4.0,-4.0,1.0,1.0,14.0,14.0,5.5,5.5,6.0,6.0,10.0,10.0,-2.0,-2.0,1.0,1.0,14.5,14.5,6.0,6.0,5.25,5.25,13.0,13.0,3.0,3.0,2.0,2.0,1.0,1.0,0.75,0.75
2024-09-22,16:30,Man City,Arsenal,D,2,2,3,3.0,3.0,3.0,3.0,16.0,16.0,6.0,6.0,11.0,11.0,6.5,6.5,1.5,1.5,2.75,2.75,16.5,16.5,6.25,6.25,9.0,9.0,6.25,6.25,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-3,3.5,3.5,1.5,1.5,8.0,8.0,4.0,4.0,3.5,3.5,12.5,12.5,1.75,1.75,1.5,1.5,11.25,11.25,5.25,5.25,4.5,4.5,13.5,13.5,3.0,3.0,2.5,2.5,1.0,1.0,0.875,0.875
2024-09-28,12:30,Newcastle,Man City,D,1,1,-5,0.0,0.0,1.5,1.5,6.0,6.0,2.0,2.0,5.0,5.0,15.5,15.5,3.4,3.4,1.4,1.4,11.0,11.0,3.8,3.8,5.2,5.2,10.6,10.6,3.0,3.0,2.0,2.0,1.0,1.0,0.7,0.7,5,0.0,0.0,2.5,2.5,17.0,17.0,6.5,6.5,7.0,7.0,6.0,6.0,1.8,1.8,2.6,2.6,19.8,19.8,7.2,7.2,8.8,8.8,6.4,6.4,3.0,3.0,2.6,2.6,1.0,1.0,0.9,0.9
2024-09-28,15:00,Arsenal,Leicester,H,4,2,11,0.0,0.0,1.5,1.5,14.5,14.5,6.5,6.5,5.5,5.5,14.5,14.5,0.8,0.8,1.6,1.6,10.0,10.0,4.8,4.8,4.0,4.0,12.8,12.8,2.0,2.0,2.2,2.2,0.75,0.75,0.8,0.8,-11,0.5,0.5,1.5,1.5,9.5,9.5,4.0,4.0,3.5,3.5,14.0,14.0,1.2,1.2,1.2,1.2,9.4,9.4,3.2,3.2,3.2,3.2,12.6,12.6,0.5,0.5,0.6,0.6,0.25,0.25,0.3,0.3
2024-09-28,15:00,Brentford,West Ham,D,1,1,2,0.0,0.0,2.5,2.5,14.5,14.5,6.0,6.0,3.0,3.0,8.0,8.0,-0.6,-0.6,1.4,1.4,10.2,10.2,5.0,5.0,3.4,3.4,7.0,7.0,3.0,3.0,1.2,1.2,1.0,1.0,0.4,0.4,-2,-0.5,-0.5,1.5,1.5,14.5,14.5,3.0,3.0,2.5,2.5,17.5,17.5,-1.4,-1.4,1.0,1.0,13.6,13.6,3.6,3.6,3.8,3.8,16.0,16.0,2.0,2.0,0.8,0.8,0.75,0.75,0.3,0.3
2024-09-28,15:00,Chelsea,Brighton,H,4,2,1,0.0,0.0,0.5,0.5,11.5,11.5,5.0,5.0,4.0,4.0,10.5,10.5,0.6,0.6,2.2,2.2,11.8,11.8,5.2,5.2,4.2,4.2,10.4,10.4,0.5,0.5,2.0,2.0,0.25,0.25,0.7,0.7,-1,0.0,0.0,2.0,2.0,16.0,16.0,4.5,4.5,6.0,6.0,7.5,7.5,3.2,3.2,1.6,1.6,16.2,16.2,4.6,4.6,6.8,6.8,10.0,10.0,2.0,2.0,1.8,1.8,0.75,0.75,0.7,0.7
2024-09-28,15:00,Everton,Crystal Palace,H,2,1,-4,0.0,0.0,1.0,1.0,13.5,13.5,4.5,4.5,4.5,4.5,7.0,7.0,-3.2,-3.2,1.0,1.0,11.8,11.8,3.4,3.4,3.4,3.4,10.6,10.6,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.1,4,0.0,0.0,1.0,1.0,11.5,11.5,4.5,4.5,6.0,6.0,14.0,14.0,-1.4,-1.4,0.8,0.8,13.2,13.2,3.8,3.8,4.8,4.8,11.0,11.0,0.5,0.5,0.6,0.6,0.25,0.25,0.3,0.3
